player,message,label,type
Asclepius #danic,or tanga mo,negative,text
Asclepius #danic,wew,negative,text
Asclepius #danic,ggez mga tanga or bobo,negative,text
INS Leo#Shawn,bobo,negative,text
INS Leo#Shawn,anjing,negative,text
INS Leo#Shawn,kontol,negative,text
INS Leo#Shawn,tanga,negative,text
INS Leo#Shawn,gg,positive,text
INS Leo#Shawn,ez,positive,text
WALA PO KO VALO ACC BINENTA KO,noob,negative,text
Abystigma#TRUTH,bobo,negative,text
Abystigma#TRUTH,tanga mo,negative,text
Abystigma#TRUTH,tangina,negative,text
aniy3ong #2708,noob,negative,text
aniy3ong #2708,bobo,negative,text
aniy3ong #2708,"""wala kang aim""",neutral,text
CHRONOS #MICHY,bobo,negative,text
CHRONOS #MICHY,tanga,negative,text
CHRONOS #MICHY,quit kana.,negative,text
Nachos#5698,noob,negative,text
Nachos#5698,diff,negative,text
Nachos#5698,mf,negative,text
Nachos#5698,stupid,negative,text
Nachos#5698,putanginamo,negative,text
Nachos#5698,tanga,negative,text
Nachos#5698,gago,negative,text
Nachos#5698,bobo,negative,text
Nachos#5698,matulog ka na,neutral,text
Nachos#5698,useless,negative,text
Nachos#5698,passive daw skill,neutral,text
Nachos#5698,madami pa e 😭,neutral,text
ZNTH Arvie #wapol,Nt,positive,text
ZNTH Arvie #wapol,LOL,positive,text
ZNTH Arvie #wapol,zzz,negative,text
ZNTH Arvie #wapol,low,neutral,text
Squarton #luke,Noob,negative,text
Squarton #luke,bobo,negative,text
Squarton #luke,ace noob and no brain,negative,text
Anna#sane,Bobong (insert agent name),negative,text
p1nk venom #BLINK,bobo,negative,text
p1nk venom #BLINK,nt,positive,text
p1nk venom #BLINK,tanga,negative,text
p1nk venom #BLINK,mb,positive,text
p1nk venom #BLINK,ingay mo,negative,text
p1nk venom #BLINK,mag entry ka duelist ka,negative,text
p1nk venom #BLINK,tangina mo,negative,text
p1nk venom #BLINK,pabuhat,negative,text
p1nk venom #BLINK,sheeeesh,positive,text
eya#1010,ngentod,negative,text
eya#1010,kontol,negative,text
eya#1010,bobo,negative,text
Xiaya#cutie,ambobo mo <agent> dapat nag <their desired action>,negative,text
Xiaya#cutie,wala kang kwenta,negative,text
Xiaya#cutie,ez kids,negative,text
Xiaya#cutie,sleepwell kids,negative,text
Yakiniku#Ramen,Stupid,negative,text
Yakiniku#Ramen,Fuck,negative,text
Yakiniku#Ramen,Kill yourself,negative,text
Sleazex#RAKK,bobo,negative,text
Sleazex#RAKK,ur mom,neutral,text
Sleazex#RAKK,go kill yourself,negative,text
Sleazex#RAKK,gkys,negative,text
Sleazex#RAKK,stupid,negative,text
Sleazex#RAKK,ez,positive,text
Sleazex#RAKK,gg,positive,text
Bukku#XXXX,any filipino/english swear words (too many to mention),negative,text
Yangbratz#vlrnt,command,neutral,text
yler#11111,tangina mo ang bobo mo,negative,text
yler#11111,mamatay na magulang mo,negative,text
yler#11111,something like that.,neutral,text
Bianx#whiff,Skin,neutral,text
Bianx#whiff,mb,positive,text
Bianx#whiff,nt,positive,text
Bianx#whiff,ty,positive,text
Bianx#whiff,bobo ampota,negative,text
Ryujin#0418,Bobo,negative,text
Ryujin#0418,Tangina,negative,text
Jeeeeeelly #Ace,tanga ina mo,negative,text
Jeeeeeelly #Ace,tanga,negative,text
Jeeeeeelly #Ace,bobo mo,negative,text
Jeeeeeelly #Ace,bogok,negative,text
Burgir #2001,Noob,negative,text
Burgir #2001,idiot,negative,text
Shizu #IDK,sheesh,positive,text
Shizu #IDK,nt,positive,text
Shizu #IDK,wp,positive,text
Shizu #IDK,jett diff,negative,text
nami#1905,dumb,negative,text
nami#1905,girls are noob,negative,text
haha rly#lmao,ggs,positive,text
haha rly#lmao,nt,positive,text
haha rly#lmao,what,neutral,text
Lien#0618,noob,positive,text
Lien#0618,quit the game,negative,text
Lien#0618,shut the fuck up,negative,text
Stratøm#KBand,Tang ina mo,negative,text
Stratøm#KBand,fuck you,negative,text
Stratøm#KBand,nigga,negative,text
Stratøm#KBand,mag pakamatay,negative,text
katana #yv4n,stupid,negative,text
ApkForsaken#Lucy,Noob,negative,text
ApkForsaken#Lucy,idiot,negative,text
ApkForsaken#Lucy,rasist sometimes,negative,text
Jeeeeeelly #Ace,ang bobo mo naman,negative,text
Jeeeeeelly #Ace,tanga,negative,text
Jeeeeeelly #Ace,anak ng pota,negative,text
Jeeeeeelly #Ace,bogok,negative,text
Jeeeeeelly #Ace,piste,negative,text
Jeeeeeelly #Ace,yawa ka,negative,text
Jeeeeeelly #Ace,animal ka,negative,text
2996,hating teammates,negative,text
2996,telling them not to play anymore,negative,text
2996,dumb,negative,text
2996,stupid,negative,text
aki#ALTY,lots of trashtalk haha especially those people who think they are good enough,,text
Wally Bayola#2774,Bobo,negative,text
Wally Bayola#2774,gg mga tanga,negative,text
Wally Bayola#2774,ez win,negative,text
Wally Bayola#2774,panalo na to agad,positive,text
Wally Bayola#2774,mga vv naman,positive,text
Eirlys#5852,bobo,negative,text
Eirlys#5852,tanginamo,negative,text
Eirlys#5852,tanga. wag ka ng maglaro,negative,text
Eirlys#5852,pukinanginamo,negative,text
BL JeromePlays#Heal,Bobo,negative,text
BL JeromePlays#Heal,Tanga,negative,text
BL JeromePlays#Heal,Mahihina,negative,text
BL JeromePlays#Heal,Wala na ba lalakas yan?,negative,text
BL JeromePlays#Heal,Kaya paba,negative,text
BL JeromePlays#Heal,Mag quit kana Valo,negative,text
BL JeromePlays#Heal,Ang Bobo mo naman Auto Lock pa.,negative,text
TheSacredCat #1222,Noob,negative,text
TheSacredCat #1222,carried,negative,text
TheSacredCat #1222,stfu,negative,text
TheSacredCat #1222,kys,negative,text
RememberTheBeat #0220,dogshit,negative,text
RememberTheBeat #0220,bobo,negative,text
RememberTheBeat #0220,bot,neutral,text
DRB Ashen#kity,ez,positive,text
DRB Ashen#kity,wtf are u doing,negative,text
DRB Ashen#kity,diff,negative,text
DRB Ashen#kity,u u suck,negative,text
DRB Ashen#kity,braindead,negative,text
Nek0#meoww,bobo,negative,text
Nek0#meoww,low iq,negative,text
Nek0#meoww,fk ur mom,negative,text
Nek0#meoww,go die,negative,text
Nek0#meoww,dumb,negative,text
Nek0#meoww,kill yourself,negative,text
Nek0#meoww,?,negative,text
Spleen#spy,Idiot Guy,negative,text
Calmpath #9409,"Bobo ng ""insert agent""",negative,text
Calmpath #9409,u suck,negative,text
Calmpath #9409,wtf u newb,negative,text
Calmpath #9409,putanginamo,negative,text
Midnighttt #noob,Stupid,negative,text
Midnighttt #noob,die,negative,text
Midnighttt #noob,kill yourself,negative,text
Midnighttt #noob,you just have a skins but you don't have skills,negative,text
RGB 0000FF#BLUE,Wag ka na maglaro,negative,text
RGB 0000FF#BLUE,ang bobo mo,negative,text
RGB 0000FF#BLUE,mamatay ka na,negative,text
RGB 0000FF#BLUE,nabuhay ka pa,negative,text
RGB 0000FF#BLUE,bumalik ka na sa nanay mo,negative,text
RGB 0000FF#BLUE,tanga tanga,negative,text
Potion #STIV,bobo,negative,text
Potion #STIV,tanga,negative,text
Potion #STIV,gago,negative,text
NCG Aureeeen #Raiii,losable,negative,text
NON #TAE,gay,negative,text
NON #TAE,n*gga,negative,text
DDT imjiiix #krv13,Bobo,negative,text
DDT imjiiix #krv13,boosted,negative,text
DDT imjiiix #krv13,quit ka na,negative,text
DDT imjiiix #krv13,stay on the kitchen duties,negative,text
DDT imjiiix #krv13,pabuhat,negative,text
klee#teya,bobo,negative,text
klee#teya,tanga,negative,text
klee#teya,bulok,negative,text
klee#teya,mama mo,negative,text
klee#teya,tangina mo,negative,text
klee#teya,pakyu,negative,text
Mochi#shiya,curse words mostly,negative,text
Inés #xiao,bobo,negative,text
Inés #xiao,tanga,negative,text
AF Aki #Jeni,I dont see words that much cause i dont mind it when im playing.,neutral,text
Going Merry#0428,bobo,negative,text
Going Merry#0428,tanga,negative,text
Going Merry#0428,ez,positive,text
Going Merry#0428,noob,negative,text
Going Merry#0428,quit valo ka na,negative,text
Mama mo Ako #2019,gg,positive,text
JunZ#AUG8,Not a phrases but maybe involvement of family members. There is a lot. Mostly of them are own kind which is Filipino.,negative,text
Danke Seb V5#0310,Gay,negative,text
Danke Seb V5#0310,Bobo,negative,text
Danke Seb V5#0310,idiot,negative,text
Danke Seb V5#0310,stupid,negative,text
Danke Seb V5#0310,wala siguro kayo mga jowa kaya ang lulungkot ng buhay nyo,negative,text
C8H11NO2#007,stupid,negative,text
Chicken Adobo#Les,Tanga,negative,text
Chicken Adobo#Les,Bobo,negative,text
Chicken Adobo#Les,Bano,negative,text
Chicken Adobo#Les,Kontol,negative,text
Chicken Adobo#Les,Bengsat,negative,text
Chicken Adobo#Les,Nub/Noob,negative,text
Chicken Adobo#Les,sleepwell,positive,text
Chicken Adobo#Les,tulog ka na lang,negative,text
Chicken Adobo#Les,Ez,positive,text
Killua,Bobo,negative,text
Creep#2851,tanga,negative,text
Creep#2851,bobo,negative,text
Creep#2851,Quit Valo kana,negative,text
kaorikoko #cry,bobo,negative,text
kaorikoko #cry,potangina,negative,text
kaorikoko #cry,weak,negative,text
kaorikoko #cry,ang hihina nyo naman,negative,text
kaorikoko #cry,boring,negative,text
kaorikoko #cry,FF,neutral,text
kaorikoko #cry,ggs,positive,text
kaorikoko #cry,glhf,positive,text
kaorikoko #cry,ggwp,positive,text
strawberry #mica,bobo,negative,text
strawberry #mica,tanga,negative,text
strawberry #mica,inutil,negative,text
strawberry #mica,ez,positive,text
strawberry #mica,tangina mo,negative,text
strawberry #mica,rape-in ko mama mo,negative,text
Wiven#Vivid,May bobo,negative,text
Wiven#Vivid,tanga,negative,text
Wiven#Vivid,inutil,negative,text
Wiven#Vivid,mangmang,negative,text
Mitochondria#isthe,Gay,negative,text
Mitochondria#isthe,stupid,negative,text
Mitochondria#isthe,noob,negative,text
Mitochondria#isthe,misogyny attacks to women,negative,text
0,Stupid,negative,text
ADMR14#DALE,bobo,negative,text
ADMR14#DALE,noob,negative,text
ADMR14#DALE,quit ka na,negative,text
ADMR14#DALE,wag ka na mag compe,negative,text
XH gelocin#jakem,idiot,negative,text
XH gelocin#jakem,stupid,negative,text
XH gelocin#jakem,ff wasting my time with dumb team,negative,text
XH gelocin#jakem,dumb bitch,negative,text
XH gelocin#jakem,boosted,negative,text
XH gelocin#jakem,stop boosting your duo,positive,text
XH gelocin#jakem,?,negative,text
Teresa #Paula,Bobo,negative,text
Teresa #Paula,Tanga,negative,text
Teresa #Paula,*Blaming someone* Etc.,negative,text
Vera Gaming #Dyan,Dumb,negative,text
Vera Gaming #Dyan,idiot,negative,text
Vera Gaming #Dyan,Prostitute,negative,text
Vera Gaming #Dyan,Bitch and many more,negative,text
xrazy jane#mello,bobo,negative,text
xrazy jane#mello,dumb,negative,text
xrazy jane#mello,you’re not really goo at playing,negative,text
xrazy jane#mello,you’re a woman do the dishes or something.,negative,text
fishybench#6069,Stupid,negative,text
fishybench#6069,BB(bobo),negative,text
fishybench#6069,idiot,negative,text
fishybench#6069,gobloc,negative,text
Itsviiiii #cute,bobo,negative,text
Itsviiiii #cute,tanga,negative,text
Itsviiiii #cute,wag kana maglaro,negative,text
Itsviiiii #cute,feeder,negative,text
Itsviiiii #cute,pakamatay kana,negative,text
Itsviiiii #cute,siraulo,negative,text
Itsviiiii #cute,idiot,negative,text
Itsviiiii #cute,you suck,negative,text
Itsviiiii #cute,GG bobo kampi,negative,text
Itsviiiii #cute,piece of crap.,negative,text
Primo #kari2,"""Do something.""",neutral,text
Primo #kari2,"""Do you know how to play?""",neutral,text
Primo #kari2,"""You better quit this game""",negative,text
Primo #kari2,"and ""Go play roblox you d*****s.""",negative,text
Mamas boyyy #Cobe,(agent) diff,,text
Mamas boyyy #Cobe,nub team,negative,text
Mamas boyyy #Cobe,delete the game,negative,text
Mamas boyyy #Cobe,ez,positive,text
ces#41222,tanga tanga,positive,text
T2 Iman #ems,naka-off lagi yung chat ko kasi more on voice chat ako.,,text
vyn#rei,just make a sandwich instead being on val,negative,text
vyn#rei,babae kase kaya ganyan,negative,text
G2V Yadidss #0413,bobo,negative,text
G2V Yadidss #0413,noob,negative,text
G2V Yadidss #0413,tanga tanga,negative,text
G2V Yadidss #0413,wag ka na maglaro pabigat ka lang.,negative,text
Inuyashima #1920,Nt,positive,text
Inuyashima #1920,mb,positive,text
Inuyashima #1920,useless,negative,text
laufeyson #3796,Gay,negative,text
laufeyson #3796,noob,negative,text
laufeyson #3796,ez,positive,text
laufeyson #3796,bobo,negative,text
laufeyson #3796,tanga,negative,text
aint good#0000,Noob,negative,text
aint good#0000,Idiot,negative,text
aint good#0000,NT,positive,text
cupcakebulle#noaim,Noob,negative,text
cupcakebulle#noaim,fck you,negative,text
cupcakebulle#noaim,monkey,negative,text
cupcakebulle#noaim,fck ur mom,negative,text
GEORGINA #RG28,bobo,negative,text
GEORGINA #RG28,tanga,negative,text
GEORGINA #RG28,ez amp,negative,text
GEORGINA #RG28,gg kids,negative,text
GEORGINA #RG28,sarap mo,positive,text
chou tzuyu #6523,ez,positive,text
chou tzuyu #6523,bobo,negative,text
chou tzuyu #6523,weak,negative,text
blueberry#niks,nt,positive,text
Sceni#knil,(agent name) diff,negative,text
yawards #maraj,bobo,negative,text
yawards #maraj,ez mga bobo,negative,text
yawards #maraj,wag na kayo laro,negative,text
yawards #maraj,go die,negative,text
Nautilus#NTLS,stupid,negative,text
Nautilus#NTLS,bobo,negative,text
Nautilus#NTLS,tanga and etc,negative,text
aki #fifi,bobo,negative,text
aki #fifi,wtf,negative,text
aki #fifi,noob,negative,text
aki #fifi,tanga,negative,text
aki #fifi,wth,negative,text
DZADDY #TWICE,Bobo,negative,text
DZADDY #TWICE,gay,negative,text
DZADDY #TWICE,stupid,negative,text
DZADDY #TWICE,you suck don't play this game,negative,text
DZADDY #TWICE,idiot,negative,text
yann19#YAZZ,Bobo,negative,text
yann19#YAZZ,noob,negative,text
yann19#YAZZ,tanga,negative,text
yann19#YAZZ,boosted,negative,text
yann19#YAZZ,buhat,negative,text
South Carolina #0008,quit valo.,negative,text
Gavv #domo,Most of them are bad words like foul words,,text
Gavv #domo,"""tang*",negative,text
Gavv #domo,bob*,negative,text
Gavv #domo,"di marunong""",negative,text
mariebiscuits #6966,Noob,negative,text
mariebiscuits #6967,Dumb,negative,text
mariebiscuits #6968,Shit,negative,text
mariebiscuits #6969,Toxic,negative,text
gaelcii,Mga curse words kasama na rin yung n word,,text
gaelcii,tangahin gaya ng mama mo something,negative,text
RazG#Razzy,Bobo,negative,text
RazG#Razzy,putang ina,negative,text
RazG#Razzy,Tanga,negative,text
RazG#Razzy,Walang Silbi,negative,text
RazG#Razzy,Boosted Shit,negative,text
Psychedelic #kohi,Bobo,negative,text
Psychedelic #kohi,Tanga,negative,text
Psychedelic #kohi,Putang ina mo,negative,text
Psychedelic #kohi,Bitch,negative,text
Psychedelic #kohi,N word.,negative,text
Insanity#3008,trashtalk with other side,,text
Insanity#3008,locations coms,positive,text
Insanity#3008,wholesome or trashtalking teammates.,,text
sujin #9488,Noob,negative,text
sujin #9488,dogshit,negative,text
sujin #9488,braindead,negative,text
DDT Panda #josh,Bobo,negative,text
DDT Panda #josh,tanga,negative,text
DDT Panda #josh,boosted,negative,text
chewu#LRRY,bobo,negative,text
chewu#LRRY,tanga,negative,text
chewu#LRRY,stupid,negative,text
chewu#LRRY,magroblox ka nalang,negative,text
chewu#LRRY,boosted,negative,text
chewu#LRRY,pokpok,negative,text
chewu#LRRY,inutil,negative,text
chewu#LRRY,mangmang,negative,text
chewu#LRRY,touch some grass,negative,text
Chala #0112,"""bobo""",negative,text
Chala #0112,"""wtf""",negative,text
Chala #0112,"""tanga""",negative,text
Nazzzzz #0503,T*ngina,negative,text
Nazzzzz #0503,G*go,negative,text
Nazzzzz #0503,T*nga-T*nga mo maglaro.,negative,text
prans#kath,wtf,negative,text
prans#kath,stupid,negative,text
prans#kath,iyakin bata,negative,text
prans#kath,ggez kids and more 🥴,negative,text
LSGN MaysterJoe#3109,tangna amputa,negative,text
LSGN MaysterJoe#3109,Bobo mo g*go,negative,text
LSGN MaysterJoe#3109,parang tanga naman to,negative,text
LSGN MaysterJoe#3109,This guy is such a noob go play minecraft. (and much more ngl),negative,text
Raijin#0829,Tangina,negative,text
Raijin#0829,bobo,negative,text
Raijin#0829,NT,positive,text
Raijin#0829,N1,positive,text
Raijin#0829,NC,positive,text
Xxina01#marx,?,negative,text
Xxina01#marx,bobo,negative,text
Xxina01#marx,tanga,negative,text
Shinatora#2900,nt( naka all round 1 hahaha),positive,text
Shinatora#2900,EZ mga bobo,negative,text
Shinatora#2900,quit valo na kayo mga mahihina,negative,text
zenitchuu#67050,bobo,negative,text
zenitchuu#67051,stupid,negative,text
zenitchuu#67052,noob,negative,text
zenitchuu#67050,you cant do this,negative,text
zenitchuu#67050,just die,negative,text
zenitchuu#67050,spamming ez(from enemy team),negative,text
PoH#04009,bobo mo balik kna sa nanay mo,negative,text
shiro#chrls,bobo,negative,text
shiro#chrls,boosted,negative,text
shiro#chrls,putangina,negative,text
Yuta #2934,ggez,positive,text
Yuta #2934,????,negative,text
Yuta #2934,ez,positive,text
Yuta #2934,noob,negative,text
Yuta #2934,trash,negative,text
Yuta #2934,kys.,,text
Kirisu#RSNNE,STUPID,negative,text
Kirisu#RSNNE,BOBO,negative,text
Kirisu#RSNNE,carried,negative,text
Kirisu#RSNNE,boosted,neutral,text
zerre#cire,Ggs,positive,text
zerre#cire,ez,positive,text
zerre#cire,youre a trash,negative,text
zerre#cire,i hope your mom die,negative,text
zerre#cire,go fuck yourself,negative,text
zerre#cire,get better,positive,text
zerre#cire,boosted,neutral,text
zerre#cire,gh,,text
zerre#cire,and ggwp,positive,text
iroh#haha,pokpok,negative,text
iroh#haha,bobo,negative,text
iroh#haha,tanga,negative,text
iroh#haha,pokpok nanay mo (actually,negative,text
iroh#haha,madalas damay pamilya nung tinatrashtalk),negative,text
0,bobo (+ variants),negative,text
0,retard,negative,text
0,braindead,negative,text
0,idiot,negative,text
crunch#JIE,dumb,negative,text
crunch#JIE,hard stuck on silver or what so ever rank are you,negative,text
crunch#JIE,or or top playing.,,text
Cookie Crinkles#TSV,Nag balo kapa,negative,text
Cookie Crinkles#TSV,quit balo kana,negative,text
Cookie Crinkles#TSV,napaka bobo mo naman.,negative,text
anjwiii #ice,"if someone's playing bad they usually say ""bobo"" ""tanga""",,text
bread#F01,mama mo,negative,text
bread#F01,autistic,negative,text
bread#F01,gay,negative,text
bread#F01,bobo,negative,text
bread#F01,putanginamo,negative,text
Beau#0718,GG EZ,positive,text
Protatoes#0505,Bobo mo,negative,text
Protatoes#0505,pakamatay ka na,negative,text
Protatoes#0505,tanga mo,negative,text
Protatoes#0505,putangina mo,negative,text
Protatoes#0505,inutil.,negative,text
PZX KEN #EALYN,boosted,neutral,text
PZX KEN #EALYN,stop playing valorant,negative,text
PZX KEN #EALYN,bullying about being a bisexual ( part of lgbtq community),,text
The Unforgiven #makuu,one time i'm told by a random player that i dont have game sense,negative,text
The Unforgiven #makuu,he said that my game sense is so low that i am wasting my time in valorant or any other games. well it got me thinking na,negative,text
The Unforgiven #makuu,dont i really have a game sense? what is game sense,neutral,text
The Unforgiven #makuu,but as time passes by i didnt mind it anymore. The words that i see mostly is probably the '?' sign. I've been playing valorant for 3 months and my rank is Gold 2,,text
The Unforgiven #makuu,not bad i think.,,text
Hisoka Morrow #0201,Gg,positive,text
Hisoka Morrow #0201,mb,positive,text
Hisoka Morrow #0201,noob,negative,text
Hisoka Morrow #0201,nt,negative,text
Katsuki#AJKSS,bro ur sh*t,negative,text
Katsuki#AJKSS,your trash,negative,text
Katsuki#AJKSS,your noob,negative,text
Kuroi_Inu #cmd,Noob,negative,text
Kuroi_Inu #cmd,Dont play valorant lol,negative,text
ryuddaeng #jmkai,bobo,negative,text
ryuddaeng #jmkai,noob,negative,text
ryuddaeng #jmkai,tanga,negative,text
ryuddaeng #jmkai,tangina,negative,text
神Yaboku#Yato,nice try,positive,text
神Yaboku#Yato,good job,positive,text
神Yaboku#Yato,some are info about the current round,positive,text
神Yaboku#Yato,bobo,negative,text
Fry #Bait,bobo,negative,text
Fry #Bait,tanga,negative,text
Fry #Bait,inutil,negative,text
Fry #Bait,pabigat,negative,text
Fry #Bait,walang kwenta,negative,text
Fry #Bait,idiot,negative,text
Fry #Bait,stupid,negative,text
Fry #Bait,piece of shit,negative,text
Fry #Bait,asshole,negative,text
Fry #Bait,blind,negative,text
Fry #Bait,useless,negative,text
Fry #Bait,fuck you etc.,negative,text
SuperMF #bert,noob,negative,text
SuperMF #bert,bobo,negative,text
CEO Kani #sebas,bobo,negative,text
CEO Kani #sebas,tanga,negative,text
CEO Kani #sebas,tanginamo,negative,text
Kazu#12345,bobo,negative,text
Kazu#12345,tanga,negative,text
Kazu#12345,tangina mo,negative,text
Kazu#12345,wag kana maglaro bobo ka naman,negative,text
Kazu#12345,walang kwenta,negative,text
Munkush #3828,ambobo mo,negative,text
Munkush #3828,tanga mo,negative,text
Munkush #3828,mamatay na sana pamilya mo,negative,text
Munkush #3828,potang ina mo delete mo na valo.,negative,text
Sanibeu#DDG,Dumb,negative,text
Sanibeu#DDG,wtf,negative,text
Sanibeu#DDG,fuck u,negative,text
Sanibeu#DDG,quit valo,negative,text
Herakles #qqqqq,Bobo,negative,text
Herakles #qqqqq,Tanga,negative,text
Herakles #qqqqq,Mamatay kana,negative,text
Herakles #qqqqq,Di kana sana nabuhay,negative,text
Herakles #qqqqq,Wala kang ambag dito pati sa bahay nyo,negative,text
jlq#4721,dumb,negative,text
jlq#4721,stupid,negative,text
jlq#4721,weak,negative,text
jlq#4721,mf,negative,text
JigZaw #1323,nt,positive,text
JigZaw #1323,gg,positive,text
JigZaw #1323,gh,positive,text
JigZaw #1323,ggwp,positive,text
JigZaw #1323,ez,positive,text
Allymaranthine#0916,Bobo,negative,text
Allymaranthine#0916,tangina mo,negative,text
Shinsquared#2020,bot frag duelist,negative,text
Shinsquared#2020,quit duelist trash,negative,text
Shinsquared#2020,nt,positive,text
Shinsquared#2020,gg,positive,text
Shinsquared#2020,nc,positive,text
aaa #idc,tanga,negative,text
i miss him#7887,sana mamatay kana,negative,text
i miss him#7887,sana mamatay na mama mo,negative,text
i miss him#7887,go kill yourself,negative,text
i 8 his chicken#dark,bobo,negative,text
i 8 his chicken#dark,surr na di marunong kakampi,negative,text
i 8 his chicken#dark,stupid team,negative,text
i 8 his chicken#dark,etc,,text
TonKetsu #TWICE,nt,positive,text
TonKetsu #TWICE,nc,positive,text
TonKetsu #TWICE,?,negative,text
TonKetsu #TWICE,wtf,negative,text
Homura #Fuyu,Bobo,negative,text
Homura #Fuyu,Weak,negative,text
Homura #Fuyu,Walang Ambag,negative,text
Kennnny #Yeji,Commands,neutral,text
AXR lampniibarra #RZCT,Bobo niyo,negative,text
AXR lampniibarra #RZCT,Tatanga niyo,negative,text
SCE Hades #Riz,idiot,negative,text
SCE Hades #Riz,brain dead,negative,text
SCE Hades #Riz,stupid,negative,text
SCE Hades #Riz,and fuck you.,negative,text
Ezicriel#five,bobo,negative,text
Ezicriel#five,tanga,negative,text
VBE GwakNation#vbe,Bobo,negative,text
VBE GwakNation#vbe,putanginamo,negative,text
VBE GwakNation#vbe,homophobic words,negative,text
VBE GwakNation#vbe,racism,negative,text
DBTK MAGDALENA #BAKLA,"homophobic slurs (still using ""gay",negative,text
DBTK MAGDALENA #BAKLA,bakla,negative,text
DBTK MAGDALENA #BAKLA,biot,negative,text
DBTK MAGDALENA #BAKLA,bading as an insult),negative,text
k j l #005,noob,negative,text
k j l #005,bobo,negative,text
k j l #005,gg ez,negative,text
RoDe0#69420,bobo,negative,text
RoDe0#69420,gago,negative,text
RoDe0#69420,di marunong,negative,text
RoDe0#69420,eat shit,negative,text
RoDe0#69420,di marunong,negative,text
RoDe0#69420,bulok,negative,text
MiNayeon#PENGU,Noob,negative,text
MiNayeon#PENGU,sheesh,positive,text
MiNayeon#PENGU,ez,positive,text
Jah#17xxx,"""Toxic team""",negative,text
Jah#17xxx,"""Idiot""",negative,text
Jah#17xxx,"""Stupid""",negative,text
